,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_nights,long_stay_flag,total_guests,guests_per_night,special_requests_per_guest,has_special_request,country_encoded,non_refund,reservation_match,is_resort,meal_encoded,market_segment_encoded,customer_type_encoded,distribution_channel_encoded
23,1,104,2017,5,1,2,1,0.0,0,0,0,0,0,0,160.0,0,0,3,0,1.0,0.3333333333333333,0.0,0,121,1,1,0,1,6,3,3
24,0,25,2016,1,0,2,2,2.0,0,0,0,0,0,0,79.0,0,1,2,0,4.0,2.0,0.25,1,46,0,1,1,1,5,3,3
25,1,28,2016,7,0,3,3,1.0,0,0,0,0,0,0,237.33,0,0,3,0,4.0,1.3333333333333333,0.0,0,30,0,1,1,1,5,3,3
26,0,193,2017,8,0,3,2,0.0,0,0,0,0,0,0,126.0,0,1,3,0,2.0,0.6666666666666666,0.5,1,38,0,1,0,1,5,3,3
27,0,51,2017,4,2,1,2,0.0,0,0,0,0,0,0,114.0,0,1,3,0,2.0,0.6666666666666666,0.5,1,53,0,1,0,0,5,3,3
28,1,19,2016,2,4,6,2,0.0,0,0,0,0,0,0,48.0,0,0,10,1,2.0,0.2,0.0,0,121,0,1,1,1,5,3,3
29,0,80,2017,7,2,1,2,0.0,0,0,0,0,0,0,80.1,0,0,3,0,2.0,0.6666666666666666,0.0,0,53,0,1,0,1,5,3,3
30,0,73,2015,8,4,10,2,0.0,0,0,0,0,0,0,127.26,0,0,14,1,2.0,0.14285714285714285,0.0,0,121,0,1,1,2,5,3,3
31,0,132,2016,9,0,3,3,0.0,0,0,0,0,0,0,162.0,0,2,3,0,3.0,1.0,0.6666666666666666,1,53,0,1,0,1,5,3,3
32,1,164,2016,10,1,0,1,0.0,0,0,0,0,0,0,115.0,0,0,1,0,1.0,1.0,0.0,0,121,1,1,0,1,4,3,3
33,0,6,2017,1,1,0,2,0.0,0,0,0,0,0,0,88.0,0,0,1,0,2.0,2.0,0.0,0,27,0,1,0,0,5,3,3
34,0,30,2015,10,1,2,2,1.0,0,0,0,0,0,0,118.2,0,1,3,0,3.0,1.0,0.3333333333333333,1,53,0,1,0,1,5,3,3
35,0,112,2017,8,1,3,3,0.0,0,0,0,0,0,0,116.1,0,1,4,0,3.0,0.75,0.3333333333333333,1,121,0,1,0,1,4,3,3
36,0,277,2017,7,0,3,2,0.0,0,0,0,0,0,0,120.6,0,1,3,0,2.0,0.6666666666666666,0.5,1,53,0,1,0,1,5,3,3
37,0,4,2017,2,0,1,2,0.0,0,0,0,0,0,0,48.0,0,0,1,0,2.0,2.0,0.0,0,121,0,0,1,1,1,3,0
38,0,2,2017,8,0,1,2,1.0,0,0,0,0,0,0,113.98,0,1,1,0,3.0,3.0,0.3333333333333333,1,121,0,1,0,1,5,3,3
39,0,12,2016,2,2,2,2,1.0,0,0,0,0,0,0,100.0,0,1,4,0,3.0,0.75,0.3333333333333333,1,50,0,0,0,1,4,3,3
40,0,3,2015,11,1,1,1,0.0,0,0,0,0,0,0,0.0,0,0,2,0,1.0,0.5,0.0,0,121,0,1,0,1,0,3,0
41,1,7,2016,5,1,2,3,1.0,0,0,0,0,0,0,144.0,0,0,3,0,4.0,1.3333333333333333,0.0,0,53,0,1,1,1,5,3,3
42,1,288,2016,4,0,2,2,0.0,0,0,0,0,0,0,62.0,0,0,2,0,2.0,1.0,0.0,0,121,1,1,0,1,6,3,3
43,1,91,2016,3,0,2,1,0.0,0,0,0,0,0,20,75.0,0,0,2,0,1.0,0.5,0.0,0,121,1,1,0,1,6,3,3
44,0,4,2017,8,1,0,1,0.0,0,0,0,0,0,0,119.0,0,0,1,0,1.0,1.0,0.0,0,30,0,1,0,0,5,3,3
45,1,147,2016,6,0,4,2,2.0,0,0,0,0,0,0,161.0,0,1,4,0,4.0,1.0,0.25,1,121,0,1,1,1,5,3,3
46,0,52,2016,11,1,3,2,0.0,0,0,0,0,0,0,67.8,0,3,4,0,2.0,0.5,1.5,1,25,0,0,1,1,5,3,3
47,0,228,2016,10,2,4,2,0.0,0,0,0,0,0,0,115.6,0,2,6,0,2.0,0.3333333333333333,1.0,1,125,0,1,0,1,5,1,3
48,0,256,2016,6,0,2,2,0.0,0,0,0,0,0,0,115.0,0,1,2,0,2.0,1.0,0.5,1,38,0,1,0,2,4,1,3
49,0,20,2017,1,1,3,2,0.0,0,0,0,0,0,0,60.63,0,1,4,0,2.0,0.5,0.5,1,50,0,1,0,1,5,3,3
50,1,178,2016,4,0,3,1,0.0,0,0,1,0,0,46,110.0,0,0,3,0,1.0,0.3333333333333333,0.0,0,121,1,1,0,1,4,3,3
51,1,346,2016,12,0,4,2,0.0,0,0,0,0,0,0,72.25,0,0,4,0,2.0,0.5,0.0,0,53,0,1,0,0,5,3,3
52,0,84,2015,11,1,2,1,0.0,0,0,0,0,1,0,56.0,0,0,3,0,1.0,0.3333333333333333,0.0,0,121,0,1,0,1,6,1,3
53,0,139,2016,5,1,3,2,0.0,0,0,0,0,0,0,99.45,0,2,4,0,2.0,0.5,1.0,1,41,0,1,0,1,5,3,3
54,0,168,2016,8,0,1,3,0.0,0,0,0,0,0,0,146.7,0,1,1,0,3.0,3.0,0.3333333333333333,1,21,0,0,0,1,5,3,3
55,0,14,2016,11,0,1,2,0.0,0,0,0,0,0,0,76.0,1,0,1,0,2.0,2.0,0.0,0,121,0,0,0,1,2,1,1
56,0,74,2016,3,1,0,1,0.0,0,0,0,0,0,0,37.0,0,0,1,0,1.0,1.0,0.0,0,38,0,1,1,1,4,1,3
57,0,128,2017,8,1,0,2,0.0,0,0,0,0,0,0,90.0,0,1,1,0,2.0,2.0,0.5,1,8,0,1,0,0,5,3,3
58,0,18,2017,6,1,1,2,0.0,0,0,0,0,1,0,140.0,0,2,2,0,2.0,1.0,1.0,1,49,0,1,0,1,1,3,0
59,0,243,2016,10,2,3,1,0.0,0,0,0,0,0,0,55.1,0,0,5,0,1.0,0.2,0.0,0,66,0,1,1,1,6,1,3
60,0,1,2016,4,2,1,1,0.0,0,1,0,8,0,0,65.0,0,1,3,0,1.0,0.3333333333333333,1.0,1,121,0,1,0,1,2,3,1
61,0,110,2017,8,0,5,2,0.0,0,0,0,0,1,0,171.0,0,2,5,0,2.0,0.4,1.0,1,121,0,1,0,2,1,3,0
62,0,7,2016,2,0,1,2,0.0,1,0,0,0,1,0,81.0,0,2,1,0,3.0,3.0,0.6666666666666666,1,121,0,1,0,0,5,3,3
63,0,7,2015,10,1,0,2,0.0,0,0,0,0,0,0,60.3,1,1,1,0,2.0,2.0,0.5,1,46,0,0,1,1,5,3,3
64,0,13,2017,5,1,1,1,0.0,0,0,0,0,0,0,130.0,0,0,2,0,1.0,0.5,0.0,0,50,0,1,0,1,2,3,1
65,0,62,2017,4,1,4,1,0.0,0,0,0,0,2,0,74.6,0,0,5,0,1.0,0.2,0.0,0,8,0,1,1,1,6,1,1
66,0,65,2015,11,2,5,2,0.0,0,0,0,0,0,0,58.0,0,1,7,0,2.0,0.2857142857142857,0.5,1,21,0,0,1,1,5,3,3
67,0,112,2017,6,2,0,2,0.0,0,0,0,0,2,0,154.0,1,1,2,0,2.0,1.0,0.5,1,121,0,1,1,1,5,3,3
68,0,15,2016,3,2,1,2,0.0,0,0,0,0,0,0,84.33,0,0,3,0,2.0,0.6666666666666666,0.0,0,71,0,1,0,0,5,1,3
69,0,33,2015,11,0,3,1,0.0,0,0,0,0,2,0,40.0,0,0,3,0,1.0,0.3333333333333333,0.0,0,50,0,0,1,1,2,1,1
70,1,372,2017,4,0,1,2,0.0,0,0,0,0,0,0,90.0,0,0,1,0,2.0,2.0,0.0,0,121,1,1,0,1,4,3,3
71,0,0,2016,1,1,2,1,0.0,0,1,2,16,0,0,65.67,0,0,3,0,1.0,0.3333333333333333,0.0,0,121,0,1,0,1,2,3,1
72,0,49,2016,3,2,1,2,0.0,0,0,0,0,0,0,44.67,0,0,3,0,2.0,0.6666666666666666,0.0,0,38,0,1,0,1,4,3,3
73,1,211,2017,4,3,6,2,0.0,0,0,0,0,0,0,81.0,0,2,9,1,2.0,0.2222222222222222,1.0,1,109,0,1,1,1,5,3,3
74,0,27,2015,11,2,3,2,0.0,0,0,0,0,3,0,33.26,0,0,5,0,2.0,0.4,0.0,0,53,0,1,1,1,5,3,3
75,0,5,2016,2,2,1,2,0.0,0,0,0,0,2,0,61.0,0,0,3,0,2.0,0.6666666666666666,0.0,0,121,0,0,1,2,1,3,0
76,0,61,2016,3,2,2,1,0.0,0,0,0,0,0,0,82.45,0,1,4,0,1.0,0.25,1.0,1,12,0,1,0,1,5,3,3
77,0,1,2016,10,0,2,1,0.0,0,1,0,1,0,0,110.0,0,0,2,0,1.0,0.5,0.0,0,71,0,1,0,1,3,3,1
78,0,100,2017,8,0,3,2,0.0,0,0,0,0,0,0,125.0,0,1,3,0,2.0,0.6666666666666666,0.5,1,25,0,1,0,0,5,3,3
79,0,0,2015,8,0,0,2,0.0,0,0,0,0,0,0,0.0,0,2,0,0,2.0,0.0,1.0,1,121,0,0,0,1,5,2,3
80,0,34,2017,7,0,2,2,0.0,0,0,0,0,0,0,160.0,0,1,2,0,2.0,1.0,0.5,1,53,0,1,0,1,5,3,3
81,1,16,2016,12,2,4,2,0.0,0,0,0,0,0,0,76.67,0,0,6,0,2.0,0.3333333333333333,0.0,0,121,1,1,0,1,6,3,3
82,0,316,2016,5,0,3,2,0.0,0,0,0,0,0,0,110.0,0,0,3,0,2.0,0.6666666666666666,0.0,0,9,0,1,0,1,6,1,3
83,1,208,2015,7,0,1,2,0.0,0,0,1,0,0,0,76.5,0,0,1,0,2.0,2.0,0.0,0,121,0,1,0,1,5,1,3
84,0,214,2017,6,0,2,2,0.0,0,0,0,0,0,0,96.25,0,0,2,0,2.0,1.0,0.0,0,53,0,1,0,1,6,1,0
85,1,131,2016,12,0,2,2,2.0,0,0,0,0,0,0,127.5,0,1,2,0,4.0,2.0,0.25,1,38,0,1,1,1,5,3,3
86,0,0,2016,4,0,2,2,0.0,0,0,0,0,0,0,89.0,0,1,2,0,2.0,1.0,0.5,1,8,0,1,0,0,5,3,3
87,0,167,2017,8,0,3,2,1.0,0,0,0,0,0,0,133.65,0,1,3,0,3.0,1.0,0.3333333333333333,1,27,0,0,0,1,5,3,3
88,0,44,2017,1,1,0,2,0.0,0,0,0,0,0,0,65.0,0,0,1,0,2.0,2.0,0.0,0,121,0,1,0,1,6,1,3
89,0,79,2017,3,0,3,3,0.0,0,0,0,0,0,0,142.2,0,1,3,0,3.0,1.0,0.3333333333333333,1,53,0,1,0,1,5,3,3
90,0,56,2015,9,1,3,2,0.0,0,0,0,0,0,0,44.5,0,0,4,0,2.0,0.5,0.0,0,53,0,1,1,1,4,3,3
91,0,0,2016,11,1,3,1,0.0,0,0,0,0,2,0,95.0,0,2,4,0,1.0,0.25,2.0,1,0,0,1,0,1,2,3,1
92,0,231,2016,9,2,5,3,0.0,0,0,0,0,1,0,101.7,0,1,7,0,3.0,0.42857142857142855,0.3333333333333333,1,121,0,0,1,2,4,3,3
93,0,67,2017,4,2,1,2,0.0,0,0,0,0,0,0,108.0,0,3,3,0,2.0,0.6666666666666666,1.5,1,50,0,1,0,0,5,3,3
94,1,107,2016,5,2,2,1,0.0,0,0,0,0,0,0,127.93,0,0,4,0,1.0,0.25,0.0,0,21,0,1,0,1,5,3,3
95,0,5,2015,10,2,1,2,0.0,0,0,0,0,0,0,105.33,0,0,3,0,2.0,0.6666666666666666,0.0,0,30,0,1,0,1,5,3,3
96,1,214,2017,8,2,2,2,0.0,0,0,0,0,2,0,130.78,0,0,4,0,2.0,0.5,0.0,0,149,0,1,0,1,5,3,3
97,0,63,2016,1,0,3,1,0.0,0,0,0,0,1,0,71.0,0,0,3,0,1.0,0.3333333333333333,0.0,0,15,0,1,0,1,4,1,3
98,1,32,2017,2,1,1,1,0.0,0,0,0,0,0,0,75.0,0,0,2,0,1.0,0.5,0.0,0,121,1,1,0,1,6,3,3
99,0,0,2016,5,0,1,2,0.0,0,0,0,0,0,0,141.0,0,0,1,0,2.0,2.0,0.0,0,50,0,0,0,1,5,3,3
100,0,120,2016,8,0,5,2,0.0,0,0,0,0,0,0,127.8,0,1,5,0,2.0,0.4,0.5,1,46,0,1,0,1,5,3,3
101,0,12,2016,3,1,1,2,0.0,0,0,0,0,0,0,80.0,1,0,2,0,2.0,1.0,0.0,0,121,0,1,1,1,5,3,3
102,0,327,2016,9,0,4,2,0.0,0,0,0,0,1,0,61.4,0,0,4,0,2.0,0.5,0.0,0,66,0,1,1,1,6,1,3
103,1,7,2016,8,0,3,2,0.0,0,0,0,0,0,0,151.0,0,2,3,0,2.0,0.6666666666666666,1.0,1,46,0,1,0,1,5,3,3
104,0,14,2015,10,0,2,1,0.0,0,0,0,0,0,0,100.0,0,0,2,0,1.0,0.5,0.0,0,68,0,1,0,1,4,1,3
105,0,81,2015,8,3,5,2,0.0,0,0,0,0,0,0,149.0,0,1,8,1,2.0,0.25,0.5,1,121,0,1,1,2,4,3,3
106,1,217,2015,9,1,3,2,2.0,0,0,1,0,3,0,108.33,0,2,4,0,4.0,1.0,0.5,1,121,0,1,1,1,4,2,3
107,0,542,2016,9,2,5,2,0.0,0,0,0,0,0,0,70.0,0,0,7,0,2.0,0.2857142857142857,0.0,0,53,0,0,1,2,6,1,3
108,0,163,2017,7,1,4,2,2.0,0,0,0,0,0,0,262.0,0,2,5,0,4.0,0.8,0.5,1,121,0,1,1,2,5,3,3
109,0,24,2016,9,2,3,2,2.0,0,0,0,0,0,0,209.1,1,0,5,0,4.0,0.8,0.0,0,46,0,1,1,1,1,3,0
110,1,454,2016,10,0,2,2,0.0,0,0,0,0,0,0,62.0,0,0,2,0,2.0,1.0,0.0,0,121,1,1,0,1,6,3,3
111,0,300,2017,6,2,5,2,0.0,0,0,0,0,1,0,95.6,0,1,7,0,2.0,0.2857142857142857,0.5,1,66,0,1,1,1,5,3,3
112,0,105,2017,5,0,3,2,0.0,0,0,0,0,0,0,144.0,0,2,3,0,2.0,0.6666666666666666,1.0,1,149,0,1,0,1,5,3,3
113,0,137,2016,5,2,4,2,0.0,0,0,0,0,0,0,62.48,0,1,6,0,2.0,0.3333333333333333,0.5,1,66,0,1,1,1,4,3,3
114,0,10,2016,2,1,2,2,0.0,0,0,0,0,0,0,63.6,0,1,3,0,2.0,0.6666666666666666,0.5,1,121,0,0,1,2,5,3,3
115,1,105,2016,7,2,3,2,0.0,0,0,0,0,0,0,139.5,0,0,5,0,2.0,0.4,0.0,0,12,0,1,0,1,5,3,3
116,1,313,2017,4,2,5,2,0.0,0,0,0,0,0,0,48.0,0,0,7,0,2.0,0.2857142857142857,0.0,0,121,0,1,1,1,6,1,3
117,1,1,2016,2,2,1,1,0.0,0,0,0,0,0,0,60.0,0,0,3,0,1.0,0.3333333333333333,0.0,0,121,0,1,0,1,4,1,3
118,0,2,2016,6,1,0,2,0.0,0,0,0,0,0,0,0.0,1,1,1,0,2.0,2.0,0.5,1,121,0,1,0,1,0,3,0
119,0,22,2016,10,2,0,1,0.0,0,0,0,0,0,0,125.1,0,1,2,0,1.0,0.5,1.0,1,27,0,1,0,1,5,3,3
120,0,96,2017,5,2,1,2,0.0,0,0,0,0,0,0,110.4,0,1,3,0,2.0,0.6666666666666666,0.5,1,21,0,1,0,1,5,3,3
121,0,63,2016,11,0,2,2,0.0,0,1,0,1,1,0,37.0,0,0,2,0,2.0,1.0,0.0,0,121,0,1,1,1,1,3,3
122,0,31,2016,12,0,2,2,0.0,0,0,0,0,0,0,305.0,0,1,2,0,2.0,1.0,0.5,1,121,0,1,1,2,6,1,0
123,1,12,2016,1,2,2,2,1.0,0,0,0,0,0,0,75.0,0,0,4,0,3.0,0.75,0.0,0,113,0,1,0,0,5,1,3
124,1,88,2017,4,0,3,2,0.0,0,0,0,0,0,0,140.0,0,0,3,0,2.0,0.6666666666666666,0.0,0,121,1,1,0,1,6,3,3
125,0,121,2017,6,1,5,2,0.0,0,0,0,0,0,0,166.33,1,0,6,0,2.0,0.3333333333333333,0.0,0,46,0,1,1,1,1,3,0
126,1,115,2016,3,2,0,1,0.0,0,0,1,0,0,22,70.0,0,0,2,0,1.0,0.5,0.0,0,121,1,1,0,1,6,3,3
127,0,39,2015,10,1,0,2,0.0,0,0,0,0,2,0,46.5,0,0,1,0,2.0,2.0,0.0,0,121,0,1,1,1,4,3,3
128,1,56,2016,6,0,1,2,0.0,0,0,0,0,0,0,120.0,0,0,1,0,2.0,2.0,0.0,0,121,0,1,0,1,4,1,1
129,0,4,2016,12,0,1,1,0.0,0,0,0,0,0,0,70.0,0,0,1,0,1.0,1.0,0.0,0,121,0,1,0,1,4,1,3
130,1,268,2015,7,2,1,2,0.0,0,0,1,0,0,0,82.0,0,0,3,0,2.0,0.6666666666666666,0.0,0,121,0,1,0,1,4,3,3
131,0,35,2016,9,2,0,1,0.0,0,0,0,0,0,0,51.94,0,1,2,0,1.0,0.5,1.0,1,149,0,0,1,1,5,3,3
132,0,14,2016,4,0,3,2,0.0,0,0,0,0,0,0,80.0,0,1,3,0,2.0,0.6666666666666666,0.5,1,50,0,1,1,1,5,3,3
133,0,2,2016,5,2,4,2,2.0,0,0,0,0,0,0,135.0,0,0,6,0,4.0,0.6666666666666666,0.0,0,50,0,1,1,1,5,3,3
134,1,128,2016,12,0,1,2,0.0,0,0,0,0,0,0,64.0,0,0,1,0,2.0,2.0,0.0,0,121,0,1,1,2,6,1,0
135,0,98,2015,7,2,1,2,0.0,0,0,0,0,0,0,71.55,1,0,3,0,2.0,0.6666666666666666,0.0,0,50,0,1,1,1,4,3,3
136,1,97,2015,10,1,3,1,0.0,0,0,0,0,0,0,140.0,0,0,4,0,1.0,0.25,0.0,0,121,1,1,0,1,6,3,3
137,0,139,2015,8,0,4,3,0.0,0,0,0,0,1,0,172.0,0,2,4,0,3.0,0.75,0.6666666666666666,1,121,0,1,1,1,5,3,3
138,1,324,2017,6,2,7,2,0.0,0,0,0,0,0,0,74.25,0,0,9,1,2.0,0.2222222222222222,0.0,0,66,0,1,1,1,5,3,3
139,0,157,2016,7,0,4,2,0.0,0,0,0,0,0,0,97.75,0,1,4,0,2.0,0.5,0.5,1,53,0,1,0,0,5,3,3
140,1,356,2015,10,0,2,2,0.0,0,0,1,0,0,0,62.0,0,0,2,0,2.0,1.0,0.0,0,121,1,1,0,1,6,2,3
141,0,164,2016,8,2,6,2,0.0,0,0,0,0,2,0,185.9,0,1,8,1,2.0,0.25,0.5,1,46,0,1,1,0,4,1,3
142,0,5,2016,12,2,3,2,0.0,0,0,0,0,0,0,116.0,0,1,5,0,2.0,0.4,0.5,1,50,0,1,0,1,5,3,3
143,0,86,2015,10,0,4,2,0.0,0,0,0,0,0,0,61.0,1,2,4,0,2.0,0.5,1.0,1,46,0,1,1,1,5,3,3
144,1,15,2016,9,4,10,1,2.0,0,0,0,0,0,0,236.14,0,1,14,1,3.0,0.21428571428571427,0.3333333333333333,1,0,0,1,0,1,5,3,3
145,0,81,2016,3,1,2,3,0.0,0,0,0,0,2,4,94.0,0,0,3,0,3.0,1.0,0.0,0,71,0,0,0,1,4,1,3
146,0,56,2016,4,0,2,2,0.0,0,0,0,0,0,0,119.1,1,1,2,0,2.0,1.0,0.5,1,121,0,1,0,1,1,3,0
147,0,133,2017,4,0,4,2,0.0,0,0,0,0,0,0,124.0,0,0,4,0,2.0,0.5,0.0,0,38,0,1,0,1,4,1,3
148,0,220,2016,6,2,1,2,0.0,0,0,0,0,0,0,73.33,0,1,3,0,2.0,0.6666666666666666,0.5,1,149,0,1,0,1,6,1,3
149,0,23,2017,8,0,1,3,1.0,0,0,0,0,0,0,264.0,1,1,1,0,4.0,4.0,0.25,1,50,0,1,0,1,1,3,0
150,1,107,2016,8,0,4,3,0.0,0,0,0,0,0,0,152.1,0,0,4,0,3.0,0.75,0.0,0,71,0,1,0,1,5,3,3
151,0,47,2015,10,1,3,2,0.0,0,0,0,0,0,0,72.36,0,1,4,0,2.0,0.5,0.5,1,25,0,1,0,1,4,3,3
152,0,40,2016,10,2,3,2,0.0,0,0,0,0,3,0,67.22,1,0,5,0,2.0,0.4,0.0,0,126,0,1,1,1,5,1,3
153,0,245,2016,9,2,5,2,0.0,0,0,0,0,0,0,87.0,0,2,7,0,2.0,0.2857142857142857,1.0,1,66,0,1,1,1,1,1,0
154,0,1,2017,3,0,1,1,0.0,0,0,0,0,0,0,70.0,0,0,1,0,1.0,1.0,0.0,0,121,0,1,1,1,5,3,3
155,0,104,2016,5,2,5,2,0.0,0,0,0,0,0,0,84.95,0,0,7,0,2.0,0.2857142857142857,0.0,0,53,0,1,1,2,4,2,3
156,0,183,2015,9,0,3,2,0.0,0,0,0,0,0,0,93.5,0,1,3,0,2.0,0.6666666666666666,0.5,1,46,0,1,0,1,5,3,3
157,1,14,2017,8,1,4,2,0.0,0,0,0,0,1,0,170.0,0,0,5,0,2.0,0.4,0.0,0,25,0,1,0,1,1,3,0
158,0,211,2016,5,1,1,2,0.0,0,0,0,0,0,0,85.0,0,0,2,0,2.0,1.0,0.0,0,38,0,1,1,2,6,1,3
159,1,443,2016,10,0,2,2,0.0,0,0,0,0,0,391,65.0,0,0,2,0,2.0,1.0,0.0,0,121,1,1,0,1,6,3,3
160,0,223,2016,5,1,5,2,0.0,0,0,0,0,1,0,66.0,0,1,6,0,2.0,0.3333333333333333,0.5,1,53,0,1,1,1,6,1,0
161,1,327,2017,5,0,2,1,0.0,0,0,0,0,0,0,99.0,0,0,2,0,1.0,0.5,0.0,0,149,0,1,0,0,5,3,3
162,0,0,2016,3,0,1,2,0.0,0,0,0,1,0,0,58.0,0,0,1,0,2.0,2.0,0.0,0,121,0,1,1,1,5,3,3
163,1,130,2016,4,0,4,2,0.0,0,0,1,0,0,10,100.0,0,0,4,0,2.0,0.5,0.0,0,121,1,1,0,1,6,3,3
164,0,98,2015,7,1,5,2,0.0,0,0,0,0,0,0,117.8,1,1,6,0,2.0,0.3333333333333333,0.5,1,46,0,0,1,2,5,3,3
165,0,287,2015,10,1,3,2,0.0,0,0,0,0,0,0,44.5,0,0,4,0,2.0,0.5,0.0,0,53,0,1,1,1,6,1,1
166,1,209,2016,8,4,10,2,0.0,0,0,0,0,2,0,158.0,0,0,14,1,2.0,0.14285714285714285,0.0,0,121,0,1,1,2,5,3,3
167,1,154,2017,8,2,3,2,0.0,0,0,0,0,0,0,112.5,0,0,5,0,2.0,0.4,0.0,0,126,0,1,0,1,1,3,0
168,0,155,2016,6,0,1,2,0.0,0,0,0,0,0,0,78.0,0,2,1,0,2.0,2.0,1.0,1,25,0,1,1,1,4,3,3
169,0,64,2017,5,1,2,2,0.0,0,0,0,0,0,0,144.0,0,1,3,0,2.0,0.6666666666666666,0.5,1,71,0,1,0,1,5,3,3
170,0,0,2017,1,0,1,1,0.0,0,0,0,0,0,0,35.0,1,1,1,0,1.0,1.0,1.0,1,121,0,1,1,1,4,3,3
171,0,183,2016,9,0,3,2,0.0,0,0,0,0,0,0,110.0,0,1,3,0,2.0,0.6666666666666666,0.5,1,71,0,1,0,1,4,1,3
172,0,51,2015,10,2,5,2,0.0,0,0,0,0,0,0,119.43,1,0,7,0,2.0,0.2857142857142857,0.0,0,53,0,1,1,2,1,3,0
173,1,68,2016,12,0,2,2,1.0,0,0,0,0,0,0,109.8,0,0,2,0,3.0,1.5,0.0,0,21,0,1,0,1,5,3,3
174,0,405,2017,7,0,2,2,0.0,0,0,0,0,0,0,114.4,0,0,2,0,2.0,1.0,0.0,0,38,0,1,0,2,4,1,3
